,,9-Feb,9-Apr,9-Jun,9-Aug,9-Oct,9-Dec,10-Feb,10-Apr,10-Jun,10-Aug,10-Oct,10-Dec,11-Feb,11-Apr,11-Jun,11-Aug,11-Oct,11-Dec,12-Feb,12-Apr,12-Jun,12-Aug,12-Oct,12-Dec
半翅目,木蝨科,3,6,17,,5,,2,5,6,3,6,6,5,5,3,1,,,2,2,4,1,1,
半翅目,沫蟬科,,,,,,,,,,,1,1,,,,,1,,,,,,,
半翅目,葉蟬科,387,406,846,95,56,196,208,975,483,396,236,1119,384,441,298,556,264,326,198,136,27,95,397,127
半翅目,蠟蟬總科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,瓢蠟蟬科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,角蟬科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,菱飛蝨科,,,2,,,,,,1,,,,,,,2,,,,1,1,,,
半翅目,軍配飛蝨科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,小頭飛蝨科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,飛蝨科,,70,268,1,48,7,16,161,30,38,13,118,50,235,14,106,64,83,47,74,3,13,46,99
半翅目,粉蝨科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,癭綿蚜科,,,,,,,,2,,,,8,,1,,,,,,1,,1,16,5
半翅目,根瘤蚜科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,常蚜科,11,1,83,9,,1,,13,70,31,4,14,2,1,14,59,49,15,1,2,5,31,50,3
半翅目,球蚜科,,,1,,,,,,,,,,,9,2,,,,,,,,10,
半翅目,大蚜科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,介殼蟲總科,,,,,,,18,,34,4,,11,2,1,3,2,,8,1,1,,4,3,7
半翅目,蚜總科,,,,,,,,,,,,,,,,,,,,,,,,1
半翅目,盲椿科,,,,3,,,,,4,4,10,1,,,2,27,2,,,,,12,10,
半翅目,長椿科,,,1,,3,,,,,,,1,,,,,,,,,,,,
半翅目,椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,姬椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,膜椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,奇椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,獵椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,緣椿象科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,姬緣椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,網椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,同椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,花椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,盾椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,駝椿科,,,,,,,,,,,,,,,,,,,,,,,,
半翅目,未分科,0,3,108,6,0,1,2,12,0,3,0,0,0,0,0,0,0,0,0,,,,,3
膜翅目,姬蜂科,,4,10,4,3,,2,2,19,30,12,28,3,,13,50,12,1,,,6,4,5,1
膜翅目,繭蜂科,,,2,8,,,,,4,8,,2,,,4,16,2,,,,8,2,,
膜翅目,錘角細蜂科,,1,2,4,2,,,,20,7,4,9,,,10,22,4,,,,14,3,5,1
膜翅目,分盾細蜂科,2,,,,,,,,11,,12,10,,,5,2,1,1,,1,2,1,6,
